Vehicle Type,Unique Count
truck,10
bus,4
car,9
Person,0
Accident Frames,"[29, 47, 48, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 118, 119, 120, 266, 286, 375, 376, 389, 390, 393, 394, 395]"
