Vehicle Type,Unique Count
car,28
bus,9
motorcycle,9
truck,18
bicycle,3
Person,23
Accident Frames,"[2, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]"
